index		a[]	+	b[]	=	c[]
110		93	+	343	=	436
111		523	+	587	=	1110
112		314	+	503	=	817
113		448	+	200	=	648
114		458	+	618	=	1076
115		580	+	796	=	1376
116		798	+	281	=	1079
117		589	+	798	=	1387
118		9	+	157	=	166
119		472	+	622	=	1094
120		538	+	292	=	830
121		38	+	179	=	217
122		190	+	657	=	847
123		958	+	191	=	1149
124		815	+	888	=	1703
125		156	+	511	=	667
126		202	+	634	=	836
127		272	+	55	=	327
128		328	+	646	=	974
129		362	+	886	=	1248
130		875	+	433	=	1308
131		869	+	142	=	1011
132		844	+	416	=	1260
133		881	+	998	=	1879
134		322	+	651	=	973
135		21	+	699	=	720
136		557	+	476	=	1033
137		892	+	389	=	1281
138		75	+	712	=	787
139		600	+	510	=	1110
140		3	+	869	=	872
141		861	+	688	=	1549
142		401	+	789	=	1190
143		255	+	423	=	678
144		2	+	585	=	587
145		182	+	285	=	467
146		88	+	426	=	514
147		617	+	757	=	1374
148		832	+	932	=	1764
149		169	+	154	=	323
150		721	+	189	=	910
151		976	+	329	=	1305
152		368	+	692	=	1060
153		425	+	555	=	980
154		434	+	549	=	983
155		441	+	512	=	953
156		145	+	60	=	205
157		718	+	753	=	1471
158		139	+	423	=	562
159		279	+	996	=	1275
160		687	+	529	=	1216
161		549	+	437	=	986
162		866	+	949	=	1815
163		193	+	195	=	388
164		297	+	416	=	713
165		286	+	105	=	391
166		488	+	282	=	770
167		455	+	734	=	1189
168		114	+	701	=	815
169		316	+	671	=	987
170		786	+	263	=	1049
171		313	+	355	=	668
172		185	+	53	=	238
173		912	+	808	=	1720
174		832	+	945	=	1777
175		313	+	756	=	1069
176		321	+	558	=	879
177		646	+	982	=	1628
178		481	+	144	=	625
179		196	+	222	=	418
180		129	+	161	=	290
181		535	+	450	=	985
182		173	+	466	=	639
183		44	+	659	=	703
184		292	+	439	=	731
185		253	+	24	=	277
186		154	+	510	=	664
187		745	+	649	=	1394
188		186	+	313	=	499
189		474	+	22	=	496
190		168	+	18	=	186
191		787	+	905	=	1692
192		958	+	391	=	1349
193		202	+	625	=	827
194		477	+	414	=	891
195		314	+	824	=	1138
196		334	+	874	=	1208
197		372	+	159	=	531
198		833	+	70	=	903
199		487	+	297	=	784
200		518	+	177	=	695
201		773	+	270	=	1043
202		763	+	668	=	1431
203		192	+	985	=	1177
204		102	+	480	=	582
205		213	+	627	=	840
206		802	+	99	=	901
207		527	+	625	=	1152
208		543	+	924	=	1467
209		23	+	972	=	995
210		61	+	181	=	242
211		3	+	432	=	435
212		505	+	593	=	1098
213		725	+	31	=	756
214		492	+	142	=	634
215		222	+	286	=	508
216		64	+	900	=	964
217		187	+	360	=	547
218		413	+	974	=	1387
219		270	+	170	=	440
220		235	+	833	=	1068
221		711	+	760	=	1471
222		896	+	667	=	1563
223		285	+	550	=	835
224		140	+	694	=	834
225		695	+	624	=	1319
226		19	+	125	=	144
227		576	+	694	=	1270
228		658	+	302	=	960
229		371	+	466	=	837
230		678	+	593	=	1271
231		851	+	484	=	1335
232		18	+	464	=	482
233		119	+	152	=	271
234		800	+	87	=	887
235		60	+	926	=	986
236		10	+	757	=	767
237		170	+	315	=	485
238		576	+	227	=	803
239		43	+	758	=	801
240		164	+	109	=	273
241		882	+	86	=	968
242		565	+	487	=	1052
243		577	+	474	=	1051
244		625	+	627	=	1252
245		629	+	928	=	1557
246		423	+	520	=	943
247		902	+	962	=	1864
248		123	+	596	=	719
249		737	+	261	=	998
250		195	+	525	=	720
251		264	+	260	=	524
252		202	+	116	=	318
253		30	+	326	=	356
254		11	+	771	=	782
255		411	+	547	=	958
256		153	+	520	=	673
257		790	+	924	=	1714
258		188	+	763	=	951
259		940	+	851	=	1791
260		662	+	829	=	1491
261		900	+	713	=	1613
262		958	+	578	=	1536
263		365	+	7	=	372
264		477	+	200	=	677
265		58	+	439	=	497
266		303	+	760	=	1063
267		357	+	324	=	681
268		477	+	108	=	585
269		113	+	887	=	1000
270		801	+	850	=	1651
271		460	+	428	=	888
272		993	+	384	=	1377
273		405	+	540	=	945
274		111	+	704	=	815
275		835	+	356	=	1191
276		72	+	350	=	422
277		823	+	485	=	1308
278		556	+	216	=	772
279		626	+	357	=	983
280		526	+	357	=	883
281		337	+	271	=	608
282		869	+	361	=	1230
283		896	+	22	=	918
284		617	+	112	=	729
285		717	+	696	=	1413
286		585	+	41	=	626
287		423	+	129	=	552
288		229	+	565	=	794
289		559	+	932	=	1491
290		296	+	855	=	1151
291		53	+	962	=	1015
292		584	+	734	=	1318
293		654	+	972	=	1626
294		457	+	369	=	826
295		532	+	963	=	1495
296		607	+	483	=	1090
297		911	+	635	=	1546
298		67	+	848	=	915
299		675	+	938	=	1613
300		223	+	142	=	365
301		754	+	511	=	1265
302		741	+	175	=	916
303		459	+	825	=	1284
304		221	+	870	=	1091
305		626	+	934	=	1560
306		205	+	783	=	988
307		850	+	398	=	1248
308		279	+	701	=	980
309		193	+	734	=	927
310		637	+	534	=	1171
311		556	+	993	=	1549
312		176	+	705	=	881
313		962	+	548	=	1510
314		881	+	300	=	1181
315		413	+	641	=	1054
316		855	+	855	=	1710
317		142	+	462	=	604
318		611	+	877	=	1488
319		424	+	678	=	1102
320		752	+	443	=	1195
321		296	+	673	=	969
322		40	+	313	=	353
323		875	+	72	=	947
324		818	+	610	=	1428
325		17	+	932	=	949
326		112	+	695	=	807
327		169	+	831	=	1000
328		40	+	488	=	528
329		685	+	90	=	775
330		497	+	589	=	1086
331		990	+	145	=	1135
332		353	+	314	=	667
333		651	+	740	=	1391
334		44	+	258	=	302
335		335	+	759	=	1094
336		192	+	605	=	797
337		264	+	181	=	445
338		503	+	829	=	1332
339		775	+	608	=	1383
340		292	+	997	=	1289
341		549	+	556	=	1105
342		561	+	627	=	1188
343		467	+	541	=	1008
344		129	+	240	=	369
345		813	+	174	=	987
346		601	+	77	=	678
347		215	+	683	=	898
348		213	+	992	=	1205
349		824	+	601	=	1425
350		392	+	759	=	1151
351		670	+	428	=	1098
352		27	+	84	=	111
353		75	+	786	=	861
354		498	+	970	=	1468
355		287	+	847	=	1134
356		604	+	503	=	1107
357		221	+	663	=	884
358		706	+	363	=	1069
359		10	+	171	=	181
360		489	+	240	=	729
361		164	+	542	=	706
362		619	+	913	=	1532
363		591	+	704	=	1295
364		818	+	232	=	1050
365		750	+	205	=	955
366		975	+	539	=	1514
367		303	+	422	=	725
368		98	+	247	=	345
369		584	+	648	=	1232
370		971	+	864	=	1835
371		913	+	75	=	988
372		545	+	712	=	1257
373		546	+	678	=	1224
374		769	+	262	=	1031
375		519	+	985	=	1504
376		289	+	944	=	1233
377		865	+	540	=	1405
378		245	+	508	=	753
379		318	+	870	=	1188
380		601	+	323	=	924
381		132	+	472	=	604
382		152	+	87	=	239
383		570	+	763	=	1333
384		901	+	103	=	1004
385		423	+	527	=	950
386		600	+	969	=	1569
387		15	+	565	=	580
388		28	+	543	=	571
389		347	+	88	=	435
390		943	+	637	=	1580
391		409	+	463	=	872
392		49	+	681	=	730
393		588	+	342	=	930
394		608	+	60	=	668
395		221	+	758	=	979
396		954	+	888	=	1842
397		146	+	690	=	836
398		949	+	843	=	1792
399		430	+	620	=	1050
400		748	+	67	=	815
401		536	+	783	=	1319
402		35	+	226	=	261
403		185	+	38	=	223
404		853	+	629	=	1482
405		224	+	748	=	972
406		923	+	359	=	1282
407		257	+	766	=	1023
408		944	+	955	=	1899
409		318	+	726	=	1044
410		411	+	25	=	436
411		355	+	1	=	356
412		549	+	496	=	1045
413		584	+	515	=	1099
414		964	+	342	=	1306
415		75	+	913	=	988
416		142	+	196	=	338
417		948	+	72	=	1020
418		426	+	606	=	1032
419		173	+	429	=	602
420		404	+	705	=	1109
421		626	+	812	=	1438
422		375	+	93	=	468
423		565	+	36	=	601
424		736	+	141	=	877
425		814	+	994	=	1808
426		256	+	652	=	908
427		936	+	838	=	1774
428		482	+	355	=	837
429		15	+	131	=	146
430		230	+	841	=	1071
431		625	+	11	=	636
432		637	+	186	=	823
433		690	+	650	=	1340
434		662	+	634	=	1296
435		893	+	353	=	1246
436		416	+	452	=	868
437		8	+	262	=	270
438		233	+	454	=	687
439		303	+	634	=	937
440		303	+	256	=	559
441		148	+	124	=	272
442		317	+	213	=	530
443		109	+	28	=	137
444		200	+	80	=	280
445		318	+	858	=	1176
446		50	+	155	=	205
447		361	+	264	=	625
448		903	+	676	=	1579
449		643	+	909	=	1552
450		902	+	561	=	1463
451		489	+	948	=	1437
452		282	+	653	=	935
453		674	+	220	=	894
454		402	+	923	=	1325
455		831	+	369	=	1200
456		878	+	259	=	1137
457		8	+	619	=	627
458		971	+	3	=	974
459		945	+	781	=	1726
460		504	+	392	=	896
461		685	+	313	=	998
462		698	+	589	=	1287
463		722	+	938	=	1660
464		37	+	410	=	447
465		461	+	234	=	695
466		508	+	961	=	1469
467		959	+	493	=	1452
468		515	+	269	=	784
469		937	+	869	=	1806
470		58	+	700	=	758
471		971	+	264	=	1235
472		117	+	215	=	332
473		555	+	815	=	1370
474		330	+	39	=	369
475		212	+	288	=	500
476		82	+	954	=	1036
477		85	+	710	=	795
478		484	+	774	=	1258
479		380	+	815	=	1195
480		951	+	541	=	1492
481		115	+	679	=	794
482		110	+	898	=	1008
483		73	+	788	=	861
484		977	+	132	=	1109
485		956	+	689	=	1645
486		113	+	8	=	121
487		941	+	790	=	1731
488		723	+	363	=	1086
489		28	+	184	=	212
490		778	+	200	=	978
491		71	+	885	=	956
492		974	+	71	=	1045
493		333	+	867	=	1200
494		153	+	295	=	448
495		168	+	825	=	993
496		676	+	629	=	1305
497		650	+	598	=	1248
498		309	+	693	=	1002
499		686	+	80	=	766
500		116	+	249	=	365
501		667	+	528	=	1195
502		679	+	864	=	1543
503		421	+	405	=	826
504		826	+	816	=	1642
505		516	+	726	=	1242
506		666	+	87	=	753
507		681	+	964	=	1645
508		340	+	686	=	1026
509		21	+	662	=	683
510		721	+	64	=	785
511		309	+	415	=	724
512		902	+	873	=	1775
513		124	+	941	=	1065
514		745	+	762	=	1507
515		423	+	531	=	954
516		806	+	268	=	1074
517		318	+	602	=	920
518		907	+	307	=	1214
519		481	+	12	=	493
520		136	+	630	=	766
521		114	+	809	=	923
522		84	+	556	=	640
523		290	+	293	=	583
524		996	+	152	=	1148
525		54	+	345	=	399
526		708	+	248	=	956
527		491	+	712	=	1203
528		131	+	114	=	245
529		439	+	958	=	1397
530		722	+	704	=	1426
531		995	+	52	=	1047
532		269	+	479	=	748
533		238	+	423	=	661
534		918	+	866	=	1784
535		659	+	498	=	1157
536		486	+	196	=	682
537		462	+	633	=	1095
538		158	+	22	=	180
539		146	+	392	=	538
540		37	+	925	=	962
541		647	+	458	=	1105
542		602	+	807	=	1409
543		98	+	830	=	928
544		292	+	600	=	892
545		278	+	799	=	1077
546		352	+	448	=	800
547		882	+	540	=	1422
548		315	+	575	=	890
549		762	+	567	=	1329
550		336	+	397	=	733
551		418	+	897	=	1315
552		828	+	851	=	1679
553		816	+	230	=	1046
554		449	+	925	=	1374
555		658	+	229	=	887
556		520	+	940	=	1460
557		560	+	147	=	707
558		162	+	655	=	817
559		675	+	792	=	1467
560		361	+	754	=	1115
561		398	+	146	=	544
562		714	+	946	=	1660
563		188	+	569	=	757
564		638	+	663	=	1301
565		75	+	515	=	590
566		521	+	475	=	996
567		615	+	528	=	1143
568		234	+	570	=	804
569		905	+	464	=	1369
570		557	+	962	=	1519
571		161	+	524	=	685
572		549	+	469	=	1018
573		330	+	923	=	1253
574		350	+	333	=	683
575		925	+	910	=	1835
576		737	+	336	=	1073
577		337	+	278	=	615
578		393	+	636	=	1029
579		714	+	164	=	878
580		591	+	949	=	1540
581		135	+	505	=	640
582		337	+	4	=	341
583		337	+	623	=	960
584		664	+	970	=	1634
585		608	+	568	=	1176
586		281	+	85	=	366
587		152	+	373	=	525
588		652	+	194	=	846
589		876	+	826	=	1702
590		396	+	572	=	968
591		249	+	640	=	889
592		174	+	819	=	993
593		943	+	611	=	1554
594		941	+	289	=	1230
595		419	+	565	=	984
596		805	+	585	=	1390
597		216	+	450	=	666
598		615	+	609	=	1224
599		64	+	166	=	230
600		893	+	74	=	967
601		509	+	300	=	809
602		695	+	573	=	1268
603		589	+	161	=	750
604		172	+	968	=	1140
605		358	+	31	=	389
606		268	+	426	=	694
607		510	+	422	=	932
608		774	+	779	=	1553
609		910	+	552	=	1462
610		182	+	391	=	573
611		495	+	764	=	1259
612		874	+	364	=	1238
613		902	+	255	=	1157
614		460	+	474	=	934
615		972	+	821	=	1793
616		122	+	547	=	669
617		577	+	789	=	1366
618		605	+	195	=	800
619		594	+	950	=	1544
620		343	+	754	=	1097
621		481	+	12	=	493
622		672	+	439	=	1111
623		428	+	912	=	1340
624		762	+	967	=	1729
625		408	+	415	=	823
626		908	+	223	=	1131
627		759	+	434	=	1193
628		204	+	486	=	690
629		319	+	958	=	1277
630		945	+	806	=	1751
631		166	+	700	=	866
632		367	+	692	=	1059
633		787	+	532	=	1319
634		556	+	974	=	1530
635		447	+	21	=	468
636		283	+	222	=	505
637		331	+	376	=	707
638		583	+	948	=	1531
639		723	+	982	=	1705
640		18	+	776	=	794
641		220	+	111	=	331
642		182	+	856	=	1038
643		490	+	925	=	1415
644		324	+	486	=	810
645		677	+	969	=	1646
646		643	+	534	=	1177
647		677	+	668	=	1345
648		68	+	991	=	1059
649		196	+	783	=	979
650		828	+	727	=	1555
651		426	+	871	=	1297
652		697	+	612	=	1309
653		703	+	27	=	730
654		408	+	545	=	953
655		508	+	185	=	693
656		238	+	237	=	475
657		443	+	313	=	756
658		501	+	850	=	1351
659		128	+	111	=	239
660		650	+	149	=	799
661		192	+	454	=	646
662		869	+	681	=	1550
663		465	+	267	=	732
664		713	+	793	=	1506
665		634	+	472	=	1106
666		972	+	830	=	1802
667		901	+	442	=	1343
668		177	+	877	=	1054
669		770	+	702	=	1472
670		364	+	381	=	745
671		590	+	823	=	1413
672		237	+	23	=	260
673		179	+	595	=	774
674		169	+	327	=	496
675		42	+	310	=	352
676		182	+	58	=	240
677		926	+	487	=	1413
678		670	+	528	=	1198
679		651	+	258	=	909
680		213	+	860	=	1073
681		783	+	286	=	1069
682		742	+	610	=	1352
683		472	+	128	=	600
684		434	+	841	=	1275
685		718	+	503	=	1221
686		867	+	865	=	1732
687		938	+	881	=	1819
688		257	+	750	=	1007
689		614	+	598	=	1212
690		458	+	661	=	1119
691		63	+	756	=	819
692		807	+	278	=	1085
693		489	+	435	=	924
694		365	+	75	=	440
695		586	+	386	=	972
696		833	+	360	=	1193
697		330	+	48	=	378
698		928	+	492	=	1420
699		433	+	840	=	1273
700		766	+	735	=	1501
701		810	+	599	=	1409
702		837	+	892	=	1729
703		982	+	328	=	1310
704		352	+	369	=	721
705		244	+	794	=	1038
706		608	+	252	=	860
707		647	+	432	=	1079
708		535	+	208	=	743
709		264	+	497	=	761
710		243	+	649	=	892
711		15	+	841	=	856
712		189	+	100	=	289
713		812	+	648	=	1460
714		523	+	851	=	1374
715		474	+	633	=	1107
716		891	+	200	=	1091
717		854	+	990	=	1844
718		697	+	919	=	1616
719		780	+	578	=	1358
720		931	+	544	=	1475
721		340	+	487	=	827
722		899	+	525	=	1424
723		483	+	538	=	1021
724		492	+	193	=	685
725		252	+	11	=	263
726		560	+	834	=	1394
727		840	+	497	=	1337
728		785	+	529	=	1314
729		540	+	805	=	1345
730		791	+	392	=	1183
731		210	+	549	=	759
732		578	+	979	=	1557
733		971	+	277	=	1248
734		73	+	193	=	266
735		620	+	497	=	1117
736		826	+	276	=	1102
737		790	+	582	=	1372
738		578	+	159	=	737
739		418	+	489	=	907
740		159	+	449	=	608
741		924	+	72	=	996
742		380	+	8	=	388
743		967	+	208	=	1175
744		477	+	503	=	980
745		370	+	607	=	977
746		196	+	74	=	270
747		722	+	611	=	1333
748		19	+	761	=	780
749		56	+	890	=	946
750		163	+	683	=	846
751		716	+	932	=	1648
752		452	+	741	=	1193
753		954	+	813	=	1767
754		862	+	396	=	1258
755		460	+	615	=	1075
756		904	+	599	=	1503
757		136	+	680	=	816
758		198	+	32	=	230
759		387	+	584	=	971
760		240	+	517	=	757
761		6	+	670	=	676
762		241	+	882	=	1123
763		249	+	523	=	772
764		758	+	105	=	863
765		621	+	95	=	716
766		296	+	916	=	1212
767		678	+	178	=	856
768		579	+	58	=	637
769		577	+	750	=	1327
770		7	+	729	=	736
771		81	+	995	=	1076
772		678	+	676	=	1354
773		753	+	899	=	1652
774		784	+	565	=	1349
775		93	+	608	=	701
776		172	+	243	=	415
777		929	+	514	=	1443
778		168	+	55	=	223
779		191	+	973	=	1164
780		922	+	748	=	1670
781		651	+	986	=	1637
782		144	+	446	=	590
783		577	+	517	=	1094
784		629	+	916	=	1545
785		874	+	791	=	1665
786		469	+	912	=	1381
787		146	+	693	=	839
788		91	+	815	=	906
789		949	+	857	=	1806
790		640	+	52	=	692
791		236	+	551	=	787
792		487	+	226	=	713
793		162	+	955	=	1117
794		183	+	394	=	577
795		180	+	97	=	277
796		65	+	65	=	130
797		513	+	261	=	774
798		578	+	78	=	656
799		878	+	140	=	1018
800		611	+	947	=	1558
801		445	+	170	=	615
802		975	+	489	=	1464
803		750	+	149	=	899
804		333	+	865	=	1198
805		214	+	282	=	496
806		7	+	432	=	439
807		896	+	367	=	1263
808		522	+	882	=	1404
809		810	+	641	=	1451
810		231	+	187	=	418
811		705	+	479	=	1184
812		321	+	538	=	859
813		351	+	447	=	798
814		208	+	646	=	854
815		276	+	759	=	1035
816		189	+	422	=	611
817		666	+	486	=	1152
818		455	+	28	=	483
819		614	+	860	=	1474
820		253	+	777	=	1030
821		348	+	503	=	851
822		861	+	431	=	1292
823		82	+	455	=	537
824		197	+	106	=	303
825		752	+	821	=	1573
826		296	+	281	=	577
827		21	+	455	=	476
828		947	+	124	=	1071
829		318	+	135	=	453
830		376	+	774	=	1150
831		859	+	998	=	1857
832		74	+	253	=	327
833		922	+	635	=	1557
834		643	+	888	=	1531
835		153	+	232	=	385
836		747	+	680	=	1427
837		926	+	678	=	1604
838		450	+	801	=	1251
839		961	+	199	=	1160
840		855	+	363	=	1218
841		716	+	573	=	1289
842		561	+	245	=	806
843		473	+	274	=	747
844		550	+	353	=	903
845		181	+	287	=	468
846		699	+	110	=	809
847		643	+	465	=	1108
848		172	+	529	=	701
849		981	+	112	=	1093
850		476	+	381	=	857
851		247	+	890	=	1137
852		671	+	805	=	1476
853		372	+	32	=	404
854		989	+	320	=	1309
855		165	+	431	=	596
856		658	+	293	=	951
857		206	+	578	=	784
858		948	+	206	=	1154
859		171	+	166	=	337
860		396	+	697	=	1093
861		20	+	694	=	714
862		529	+	788	=	1317
863		109	+	984	=	1093
864		969	+	978	=	1947
865		617	+	15	=	632
866		626	+	684	=	1310
867		168	+	906	=	1074
868		928	+	97	=	1025
869		118	+	390	=	508
870		199	+	785	=	984
871		486	+	199	=	685
872		420	+	710	=	1130
873		271	+	813	=	1084
874		415	+	85	=	500
875		318	+	580	=	898
876		331	+	267	=	598
877		387	+	444	=	831
878		186	+	507	=	693
879		360	+	827	=	1187
880		74	+	431	=	505
881		152	+	271	=	423
882		268	+	693	=	961
883		885	+	337	=	1222
884		311	+	604	=	915
885		677	+	406	=	1083
886		768	+	22	=	790
887		413	+	0	=	413
888		542	+	537	=	1079
889		38	+	388	=	426
890		355	+	289	=	644
891		647	+	181	=	828
892		93	+	584	=	677
893		987	+	761	=	1748
894		493	+	217	=	710
895		501	+	482	=	983
896		447	+	665	=	1112
897		753	+	104	=	857
898		84	+	95	=	179
899		525	+	221	=	746
900		964	+	781	=	1745
901		872	+	106	=	978
902		656	+	343	=	999
903		593	+	80	=	673
904		80	+	868	=	948
905		411	+	713	=	1124
906		968	+	251	=	1219
907		216	+	79	=	295
908		768	+	40	=	808
909		531	+	933	=	1464
910		779	+	663	=	1442
911		259	+	653	=	912
912		936	+	95	=	1031
913		365	+	874	=	1239
914		720	+	835	=	1555
915		680	+	976	=	1656
916		455	+	725	=	1180
917		71	+	808	=	879
918		559	+	156	=	715
919		602	+	832	=	1434
920		905	+	440	=	1345
921		375	+	562	=	937
922		885	+	962	=	1847
923		80	+	836	=	916
924		797	+	202	=	999
925		508	+	80	=	588
926		340	+	76	=	416
927		58	+	493	=	551
928		740	+	546	=	1286
929		474	+	773	=	1247
930		97	+	880	=	977
931		335	+	72	=	407
932		400	+	707	=	1107
933		955	+	666	=	1621
934		141	+	588	=	729
935		481	+	168	=	649
936		315	+	396	=	711
937		225	+	9	=	234
938		12	+	136	=	148
939		455	+	762	=	1217
940		43	+	742	=	785
941		21	+	922	=	943
942		512	+	248	=	760
943		18	+	368	=	386
944		717	+	714	=	1431
945		650	+	290	=	940
946		335	+	759	=	1094
947		169	+	895	=	1064
948		303	+	640	=	943
949		979	+	199	=	1178
950		105	+	791	=	896
951		661	+	681	=	1342
952		652	+	753	=	1405
953		33	+	29	=	62
954		987	+	42	=	1029
955		253	+	83	=	336
956		420	+	814	=	1234
957		718	+	244	=	962
958		63	+	229	=	292
959		652	+	864	=	1516
960		769	+	470	=	1239
961		5	+	47	=	52
962		594	+	487	=	1081
963		326	+	276	=	602
964		323	+	540	=	863
965		679	+	990	=	1669
966		588	+	710	=	1298
967		271	+	945	=	1216
968		221	+	470	=	691
969		183	+	589	=	772
970		955	+	978	=	1933
971		779	+	6	=	785
972		262	+	135	=	397
973		487	+	196	=	683
974		33	+	88	=	121
975		935	+	779	=	1714
976		993	+	790	=	1783
977		962	+	965	=	1927
978		1	+	105	=	106
979		807	+	567	=	1374
980		669	+	134	=	803
981		671	+	457	=	1128
982		998	+	545	=	1543
983		597	+	218	=	815
984		838	+	844	=	1682
985		372	+	563	=	935
986		28	+	264	=	292
987		801	+	723	=	1524
988		490	+	604	=	1094
989		601	+	227	=	828
990		197	+	692	=	889
991		771	+	363	=	1134
992		301	+	363	=	664
993		721	+	565	=	1286
994		421	+	445	=	866
995		610	+	495	=	1105
996		741	+	22	=	763
997		812	+	151	=	963
998		15	+	55	=	70
999		393	+	738	=	1131
1000		279	+	882	=	1161
1001		608	+	654	=	1262
1002		822	+	707	=	1529
1003		245	+	338	=	583
1004		144	+	290	=	434
1005		339	+	154	=	493
1006		604	+	623	=	1227
1007		225	+	78	=	303
1008		724	+	981	=	1705
1009		330	+	733	=	1063
1010		223	+	594	=	817
1011		130	+	846	=	976
1012		987	+	445	=	1432
1013		805	+	616	=	1421
1014		750	+	489	=	1239
1015		338	+	963	=	1301
1016		135	+	697	=	832
1017		209	+	630	=	839
1018		224	+	908	=	1132
1019		737	+	474	=	1211
1020		920	+	372	=	1292
1021		293	+	855	=	1148
1022		734	+	561	=	1295
1023		56	+	606	=	662
1024		184	+	75	=	259
1025		382	+	119	=	501
1026		741	+	432	=	1173
1027		684	+	779	=	1463
1028		279	+	283	=	562
1029		667	+	836	=	1503
1030		125	+	118	=	243
1031		737	+	28	=	765
1032		119	+	577	=	696
1033		737	+	91	=	828
1034		556	+	795	=	1351
1035		60	+	901	=	961
1036		793	+	432	=	1225
1037		136	+	580	=	716
1038		875	+	907	=	1782
1039		184	+	74	=	258
1040		719	+	790	=	1509
1041		476	+	41	=	517
1042		351	+	329	=	680
1043		290	+	974	=	1264
1044		72	+	591	=	663
1045		189	+	787	=	976
1046		490	+	239	=	729
1047		893	+	53	=	946
1048		63	+	681	=	744
1049		903	+	5	=	908
1050		176	+	479	=	655
1051		695	+	139	=	834
1052		468	+	998	=	1466
1053		83	+	639	=	722
1054		515	+	621	=	1136
1055		993	+	826	=	1819
1056		722	+	838	=	1560
1057		828	+	581	=	1409
1058		399	+	978	=	1377
1059		891	+	23	=	914
1060		943	+	834	=	1777
1061		243	+	349	=	592
1062		702	+	707	=	1409
1063		502	+	141	=	643
1064		687	+	346	=	1033
1065		891	+	637	=	1528
1066		413	+	400	=	813
1067		816	+	690	=	1506
1068		162	+	935	=	1097
1069		126	+	410	=	536
1070		877	+	382	=	1259
1071		260	+	189	=	449
1072		705	+	874	=	1579
1073		663	+	722	=	1385
1074		195	+	566	=	761
1075		360	+	38	=	398
1076		588	+	811	=	1399
1077		245	+	467	=	712
1078		425	+	867	=	1292
1079		189	+	542	=	731
1080		63	+	547	=	610
1081		502	+	617	=	1119
1082		99	+	23	=	122
1083		226	+	203	=	429
1084		48	+	51	=	99
1085		570	+	636	=	1206
1086		458	+	967	=	1425
1087		456	+	405	=	861
1088		531	+	962	=	1493
1089		819	+	975	=	1794
1090		556	+	531	=	1087
1091		495	+	44	=	539
1092		591	+	803	=	1394
1093		388	+	915	=	1303
1094		450	+	319	=	769
1095		272	+	791	=	1063
1096		383	+	133	=	516
1097		775	+	642	=	1417
1098		569	+	300	=	869
1099		954	+	78	=	1032
1100		585	+	257	=	842
1101		333	+	893	=	1226
1102		490	+	103	=	593
1103		750	+	233	=	983
1104		722	+	271	=	993
1105		611	+	990	=	1601
1106		338	+	641	=	979
1107		258	+	47	=	305
1108		352	+	658	=	1010
1109		479	+	302	=	781
