index		a[]	+	b[]	=	c[]
99		310	+	617	=	0
100		813	+	514	=	0
101		309	+	616	=	0
102		935	+	451	=	0
103		600	+	249	=	0
104		519	+	556	=	0
105		798	+	303	=	0
106		224	+	8	=	0
107		844	+	609	=	0
108		989	+	702	=	0
109		195	+	485	=	0
110		93	+	343	=	0
111		523	+	587	=	0
112		314	+	503	=	0
113		448	+	200	=	0
114		458	+	618	=	0
115		580	+	796	=	0
116		798	+	281	=	0
117		589	+	798	=	0
118		9	+	157	=	0
119		472	+	622	=	0
120		538	+	292	=	0
121		38	+	179	=	0
122		190	+	657	=	0
123		958	+	191	=	0
124		815	+	888	=	0
125		156	+	511	=	0
126		202	+	634	=	0
127		272	+	55	=	0
128		328	+	646	=	0
129		362	+	886	=	0
130		875	+	433	=	0
131		869	+	142	=	0
132		844	+	416	=	0
133		881	+	998	=	0
134		322	+	651	=	0
135		21	+	699	=	0
136		557	+	476	=	0
137		892	+	389	=	0
138		75	+	712	=	0
139		600	+	510	=	0
140		3	+	869	=	0
141		861	+	688	=	0
142		401	+	789	=	0
143		255	+	423	=	0
144		2	+	585	=	0
145		182	+	285	=	0
146		88	+	426	=	0
147		617	+	757	=	0
148		832	+	932	=	0
149		169	+	154	=	0
150		721	+	189	=	0
151		976	+	329	=	0
152		368	+	692	=	0
153		425	+	555	=	0
154		434	+	549	=	0
155		441	+	512	=	0
156		145	+	60	=	0
157		718	+	753	=	0
158		139	+	423	=	0
159		279	+	996	=	0
160		687	+	529	=	0
161		549	+	437	=	0
162		866	+	949	=	0
163		193	+	195	=	0
164		297	+	416	=	0
165		286	+	105	=	0
166		488	+	282	=	0
167		455	+	734	=	0
168		114	+	701	=	0
169		316	+	671	=	0
170		786	+	263	=	0
171		313	+	355	=	0
172		185	+	53	=	0
173		912	+	808	=	0
174		832	+	945	=	0
175		313	+	756	=	0
176		321	+	558	=	0
177		646	+	982	=	0
178		481	+	144	=	0
179		196	+	222	=	0
180		129	+	161	=	0
181		535	+	450	=	0
182		173	+	466	=	0
183		44	+	659	=	0
184		292	+	439	=	0
185		253	+	24	=	0
186		154	+	510	=	0
187		745	+	649	=	0
188		186	+	313	=	0
189		474	+	22	=	0
190		168	+	18	=	0
191		787	+	905	=	0
192		958	+	391	=	0
193		202	+	625	=	0
194		477	+	414	=	0
195		314	+	824	=	0
196		334	+	874	=	0
197		372	+	159	=	0
198		833	+	70	=	0
199		487	+	297	=	0
200		518	+	177	=	0
201		773	+	270	=	0
202		763	+	668	=	0
203		192	+	985	=	0
204		102	+	480	=	0
205		213	+	627	=	0
206		802	+	99	=	0
207		527	+	625	=	0
208		543	+	924	=	0
209		23	+	972	=	0
210		61	+	181	=	0
211		3	+	432	=	0
212		505	+	593	=	0
213		725	+	31	=	0
214		492	+	142	=	0
215		222	+	286	=	0
216		64	+	900	=	0
217		187	+	360	=	0
218		413	+	974	=	0
219		270	+	170	=	0
220		235	+	833	=	0
221		711	+	760	=	0
222		896	+	667	=	0
223		285	+	550	=	0
224		140	+	694	=	0
225		695	+	624	=	0
226		19	+	125	=	0
227		576	+	694	=	0
228		658	+	302	=	0
229		371	+	466	=	0
230		678	+	593	=	0
231		851	+	484	=	0
232		18	+	464	=	0
233		119	+	152	=	0
234		800	+	87	=	0
235		60	+	926	=	0
236		10	+	757	=	0
237		170	+	315	=	0
238		576	+	227	=	0
239		43	+	758	=	0
240		164	+	109	=	0
241		882	+	86	=	0
242		565	+	487	=	0
243		577	+	474	=	0
244		625	+	627	=	0
245		629	+	928	=	0
246		423	+	520	=	0
247		902	+	962	=	0
248		123	+	596	=	0
249		737	+	261	=	0
250		195	+	525	=	0
251		264	+	260	=	0
252		202	+	116	=	0
253		30	+	326	=	0
254		11	+	771	=	0
255		411	+	547	=	0
256		153	+	520	=	0
257		790	+	924	=	0
258		188	+	763	=	0
259		940	+	851	=	0
260		662	+	829	=	0
261		900	+	713	=	0
262		958	+	578	=	0
263		365	+	7	=	0
264		477	+	200	=	0
265		58	+	439	=	0
266		303	+	760	=	0
267		357	+	324	=	0
268		477	+	108	=	0
269		113	+	887	=	0
270		801	+	850	=	0
271		460	+	428	=	0
272		993	+	384	=	0
273		405	+	540	=	0
274		111	+	704	=	0
275		835	+	356	=	0
276		72	+	350	=	0
277		823	+	485	=	0
278		556	+	216	=	0
279		626	+	357	=	0
280		526	+	357	=	0
281		337	+	271	=	0
282		869	+	361	=	0
283		896	+	22	=	0
284		617	+	112	=	0
285		717	+	696	=	0
286		585	+	41	=	0
287		423	+	129	=	0
288		229	+	565	=	0
289		559	+	932	=	0
290		296	+	855	=	0
291		53	+	962	=	0
292		584	+	734	=	0
293		654	+	972	=	0
294		457	+	369	=	0
295		532	+	963	=	0
296		607	+	483	=	0
297		911	+	635	=	0
298		67	+	848	=	0
299		675	+	938	=	0
300		223	+	142	=	0
301		754	+	511	=	0
302		741	+	175	=	0
303		459	+	825	=	0
304		221	+	870	=	0
305		626	+	934	=	0
306		205	+	783	=	0
307		850	+	398	=	0
308		279	+	701	=	0
309		193	+	734	=	0
310		637	+	534	=	0
311		556	+	993	=	0
312		176	+	705	=	0
313		962	+	548	=	0
314		881	+	300	=	0
315		413	+	641	=	0
316		855	+	855	=	0
317		142	+	462	=	0
318		611	+	877	=	0
319		424	+	678	=	0
320		752	+	443	=	0
321		296	+	673	=	0
322		40	+	313	=	0
323		875	+	72	=	0
324		818	+	610	=	0
325		17	+	932	=	0
326		112	+	695	=	0
327		169	+	831	=	0
328		40	+	488	=	0
329		685	+	90	=	0
330		497	+	589	=	0
331		990	+	145	=	0
332		353	+	314	=	0
333		651	+	740	=	0
334		44	+	258	=	0
335		335	+	759	=	0
336		192	+	605	=	0
337		264	+	181	=	0
338		503	+	829	=	0
339		775	+	608	=	0
340		292	+	997	=	0
341		549	+	556	=	0
342		561	+	627	=	0
343		467	+	541	=	0
344		129	+	240	=	0
345		813	+	174	=	0
346		601	+	77	=	0
347		215	+	683	=	0
348		213	+	992	=	0
349		824	+	601	=	0
350		392	+	759	=	0
351		670	+	428	=	0
352		27	+	84	=	0
353		75	+	786	=	0
354		498	+	970	=	0
355		287	+	847	=	0
356		604	+	503	=	0
357		221	+	663	=	0
358		706	+	363	=	0
359		10	+	171	=	0
360		489	+	240	=	0
361		164	+	542	=	0
362		619	+	913	=	0
363		591	+	704	=	0
364		818	+	232	=	0
365		750	+	205	=	0
366		975	+	539	=	0
367		303	+	422	=	0
368		98	+	247	=	0
369		584	+	648	=	0
370		971	+	864	=	0
371		913	+	75	=	0
372		545	+	712	=	0
373		546	+	678	=	0
374		769	+	262	=	0
375		519	+	985	=	0
376		289	+	944	=	0
377		865	+	540	=	0
378		245	+	508	=	0
379		318	+	870	=	0
380		601	+	323	=	0
381		132	+	472	=	0
382		152	+	87	=	0
383		570	+	763	=	0
384		901	+	103	=	0
385		423	+	527	=	0
386		600	+	969	=	0
387		15	+	565	=	0
388		28	+	543	=	0
389		347	+	88	=	0
390		943	+	637	=	0
391		409	+	463	=	0
392		49	+	681	=	0
393		588	+	342	=	0
394		608	+	60	=	0
395		221	+	758	=	0
396		954	+	888	=	0
397		146	+	690	=	0
398		949	+	843	=	0
399		430	+	620	=	0
400		748	+	67	=	0
401		536	+	783	=	0
402		35	+	226	=	0
403		185	+	38	=	0
404		853	+	629	=	0
405		224	+	748	=	0
406		923	+	359	=	0
407		257	+	766	=	0
408		944	+	955	=	0
409		318	+	726	=	0
410		411	+	25	=	0
411		355	+	1	=	0
412		549	+	496	=	0
413		584	+	515	=	0
414		964	+	342	=	0
415		75	+	913	=	0
416		142	+	196	=	0
417		948	+	72	=	0
418		426	+	606	=	0
419		173	+	429	=	0
420		404	+	705	=	0
421		626	+	812	=	0
422		375	+	93	=	0
423		565	+	36	=	0
424		736	+	141	=	0
425		814	+	994	=	0
426		256	+	652	=	0
427		936	+	838	=	0
428		482	+	355	=	0
429		15	+	131	=	0
430		230	+	841	=	0
431		625	+	11	=	0
432		637	+	186	=	0
433		690	+	650	=	0
434		662	+	634	=	0
435		893	+	353	=	0
436		416	+	452	=	0
437		8	+	262	=	0
438		233	+	454	=	0
439		303	+	634	=	0
440		303	+	256	=	0
441		148	+	124	=	0
442		317	+	213	=	0
443		109	+	28	=	0
444		200	+	80	=	0
445		318	+	858	=	0
446		50	+	155	=	0
447		361	+	264	=	0
448		903	+	676	=	0
449		643	+	909	=	0
450		902	+	561	=	0
451		489	+	948	=	0
452		282	+	653	=	0
453		674	+	220	=	0
454		402	+	923	=	0
455		831	+	369	=	0
456		878	+	259	=	0
457		8	+	619	=	0
458		971	+	3	=	0
459		945	+	781	=	0
460		504	+	392	=	0
461		685	+	313	=	0
462		698	+	589	=	0
463		722	+	938	=	0
464		37	+	410	=	0
465		461	+	234	=	0
466		508	+	961	=	0
467		959	+	493	=	0
468		515	+	269	=	0
469		937	+	869	=	0
470		58	+	700	=	0
471		971	+	264	=	0
472		117	+	215	=	0
473		555	+	815	=	0
474		330	+	39	=	0
475		212	+	288	=	0
476		82	+	954	=	0
477		85	+	710	=	0
478		484	+	774	=	0
479		380	+	815	=	0
480		951	+	541	=	0
481		115	+	679	=	0
482		110	+	898	=	0
483		73	+	788	=	0
484		977	+	132	=	0
485		956	+	689	=	0
486		113	+	8	=	0
487		941	+	790	=	0
488		723	+	363	=	0
489		28	+	184	=	0
490		778	+	200	=	0
491		71	+	885	=	0
492		974	+	71	=	0
493		333	+	867	=	0
494		153	+	295	=	0
495		168	+	825	=	0
496		676	+	629	=	0
497		650	+	598	=	0
498		309	+	693	=	0
499		686	+	80	=	0
500		116	+	249	=	0
501		667	+	528	=	0
502		679	+	864	=	0
503		421	+	405	=	0
504		826	+	816	=	0
505		516	+	726	=	0
506		666	+	87	=	0
507		681	+	964	=	0
508		340	+	686	=	0
509		21	+	662	=	0
510		721	+	64	=	0
511		309	+	415	=	0
512		902	+	873	=	0
513		124	+	941	=	0
514		745	+	762	=	0
515		423	+	531	=	0
516		806	+	268	=	0
517		318	+	602	=	0
518		907	+	307	=	0
519		481	+	12	=	0
520		136	+	630	=	0
521		114	+	809	=	0
522		84	+	556	=	0
523		290	+	293	=	0
524		996	+	152	=	0
525		54	+	345	=	0
526		708	+	248	=	0
527		491	+	712	=	0
528		131	+	114	=	0
529		439	+	958	=	0
530		722	+	704	=	0
531		995	+	52	=	0
532		269	+	479	=	0
533		238	+	423	=	0
534		918	+	866	=	0
535		659	+	498	=	0
536		486	+	196	=	0
537		462	+	633	=	0
538		158	+	22	=	0
539		146	+	392	=	0
540		37	+	925	=	0
541		647	+	458	=	0
542		602	+	807	=	0
543		98	+	830	=	0
544		292	+	600	=	0
545		278	+	799	=	0
546		352	+	448	=	0
547		882	+	540	=	0
548		315	+	575	=	0
549		762	+	567	=	0
550		336	+	397	=	0
551		418	+	897	=	0
552		828	+	851	=	0
553		816	+	230	=	0
554		449	+	925	=	0
555		658	+	229	=	0
556		520	+	940	=	0
557		560	+	147	=	0
558		162	+	655	=	0
559		675	+	792	=	0
560		361	+	754	=	0
561		398	+	146	=	0
562		714	+	946	=	0
563		188	+	569	=	0
564		638	+	663	=	0
565		75	+	515	=	0
566		521	+	475	=	0
567		615	+	528	=	0
568		234	+	570	=	0
569		905	+	464	=	0
570		557	+	962	=	0
571		161	+	524	=	0
572		549	+	469	=	0
573		330	+	923	=	0
574		350	+	333	=	0
575		925	+	910	=	0
576		737	+	336	=	0
577		337	+	278	=	0
578		393	+	636	=	0
579		714	+	164	=	0
580		591	+	949	=	0
581		135	+	505	=	0
582		337	+	4	=	0
583		337	+	623	=	0
584		664	+	970	=	0
585		608	+	568	=	0
586		281	+	85	=	0
587		152	+	373	=	0
588		652	+	194	=	0
589		876	+	826	=	0
590		396	+	572	=	0
591		249	+	640	=	0
592		174	+	819	=	0
593		943	+	611	=	0
594		941	+	289	=	0
595		419	+	565	=	0
596		805	+	585	=	0
597		216	+	450	=	0
598		615	+	609	=	0
599		64	+	166	=	0
600		893	+	74	=	0
601		509	+	300	=	0
602		695	+	573	=	0
603		589	+	161	=	0
604		172	+	968	=	0
605		358	+	31	=	0
606		268	+	426	=	0
607		510	+	422	=	0
608		774	+	779	=	0
609		910	+	552	=	0
610		182	+	391	=	0
611		495	+	764	=	0
612		874	+	364	=	0
613		902	+	255	=	0
614		460	+	474	=	0
615		972	+	821	=	0
616		122	+	547	=	0
617		577	+	789	=	0
618		605	+	195	=	0
619		594	+	950	=	0
620		343	+	754	=	0
621		481	+	12	=	0
622		672	+	439	=	0
623		428	+	912	=	0
624		762	+	967	=	0
625		408	+	415	=	0
626		908	+	223	=	0
627		759	+	434	=	0
628		204	+	486	=	0
629		319	+	958	=	0
630		945	+	806	=	0
631		166	+	700	=	0
632		367	+	692	=	0
633		787	+	532	=	0
634		556	+	974	=	0
635		447	+	21	=	0
636		283	+	222	=	0
637		331	+	376	=	0
638		583	+	948	=	0
639		723	+	982	=	0
640		18	+	776	=	0
641		220	+	111	=	0
642		182	+	856	=	0
643		490	+	925	=	0
644		324	+	486	=	0
645		677	+	969	=	0
646		643	+	534	=	0
647		677	+	668	=	0
648		68	+	991	=	0
649		196	+	783	=	0
650		828	+	727	=	0
651		426	+	871	=	0
652		697	+	612	=	0
653		703	+	27	=	0
654		408	+	545	=	0
655		508	+	185	=	0
656		238	+	237	=	0
657		443	+	313	=	0
658		501	+	850	=	0
659		128	+	111	=	0
660		650	+	149	=	0
661		192	+	454	=	0
662		869	+	681	=	0
663		465	+	267	=	0
664		713	+	793	=	0
665		634	+	472	=	0
666		972	+	830	=	0
667		901	+	442	=	0
668		177	+	877	=	0
669		770	+	702	=	0
670		364	+	381	=	0
671		590	+	823	=	0
672		237	+	23	=	0
673		179	+	595	=	0
674		169	+	327	=	0
675		42	+	310	=	0
676		182	+	58	=	0
677		926	+	487	=	0
678		670	+	528	=	0
679		651	+	258	=	0
680		213	+	860	=	0
681		783	+	286	=	0
682		742	+	610	=	0
683		472	+	128	=	0
684		434	+	841	=	0
685		718	+	503	=	0
686		867	+	865	=	0
687		938	+	881	=	0
688		257	+	750	=	0
689		614	+	598	=	0
690		458	+	661	=	0
691		63	+	756	=	0
692		807	+	278	=	0
693		489	+	435	=	0
694		365	+	75	=	0
695		586	+	386	=	0
696		833	+	360	=	0
697		330	+	48	=	0
698		928	+	492	=	0
699		433	+	840	=	0
700		766	+	735	=	0
701		810	+	599	=	0
702		837	+	892	=	0
703		982	+	328	=	0
704		352	+	369	=	0
705		244	+	794	=	0
706		608	+	252	=	0
707		647	+	432	=	0
708		535	+	208	=	0
709		264	+	497	=	0
710		243	+	649	=	0
711		15	+	841	=	0
712		189	+	100	=	0
713		812	+	648	=	0
714		523	+	851	=	0
715		474	+	633	=	0
716		891	+	200	=	0
717		854	+	990	=	0
718		697	+	919	=	0
719		780	+	578	=	0
720		931	+	544	=	0
721		340	+	487	=	0
722		899	+	525	=	0
723		483	+	538	=	0
724		492	+	193	=	0
725		252	+	11	=	0
726		560	+	834	=	0
727		840	+	497	=	0
728		785	+	529	=	0
729		540	+	805	=	0
730		791	+	392	=	0
731		210	+	549	=	0
732		578	+	979	=	0
733		971	+	277	=	0
734		73	+	193	=	0
735		620	+	497	=	0
736		826	+	276	=	0
737		790	+	582	=	0
738		578	+	159	=	0
739		418	+	489	=	0
740		159	+	449	=	0
741		924	+	72	=	0
742		380	+	8	=	0
743		967	+	208	=	0
744		477	+	503	=	0
745		370	+	607	=	0
746		196	+	74	=	0
747		722	+	611	=	0
748		19	+	761	=	0
749		56	+	890	=	0
750		163	+	683	=	0
751		716	+	932	=	0
752		452	+	741	=	0
753		954	+	813	=	0
754		862	+	396	=	0
755		460	+	615	=	0
756		904	+	599	=	0
757		136	+	680	=	0
758		198	+	32	=	0
759		387	+	584	=	0
760		240	+	517	=	0
761		6	+	670	=	0
762		241	+	882	=	0
763		249	+	523	=	0
764		758	+	105	=	0
765		621	+	95	=	0
766		296	+	916	=	0
767		678	+	178	=	0
768		579	+	58	=	0
769		577	+	750	=	0
770		7	+	729	=	0
771		81	+	995	=	0
772		678	+	676	=	0
773		753	+	899	=	0
774		784	+	565	=	0
775		93	+	608	=	0
776		172	+	243	=	0
777		929	+	514	=	0
778		168	+	55	=	0
779		191	+	973	=	0
780		922	+	748	=	0
781		651	+	986	=	0
782		144	+	446	=	0
783		577	+	517	=	0
784		629	+	916	=	0
785		874	+	791	=	0
786		469	+	912	=	0
787		146	+	693	=	0
788		91	+	815	=	0
789		949	+	857	=	0
790		640	+	52	=	0
791		236	+	551	=	0
792		487	+	226	=	0
793		162	+	955	=	0
794		183	+	394	=	0
795		180	+	97	=	0
796		65	+	65	=	0
797		513	+	261	=	0
798		578	+	78	=	0
799		878	+	140	=	0
800		611	+	947	=	0
801		445	+	170	=	0
802		975	+	489	=	0
803		750	+	149	=	0
804		333	+	865	=	0
805		214	+	282	=	0
806		7	+	432	=	0
807		896	+	367	=	0
808		522	+	882	=	0
809		810	+	641	=	0
810		231	+	187	=	0
811		705	+	479	=	0
812		321	+	538	=	0
813		351	+	447	=	0
814		208	+	646	=	0
815		276	+	759	=	0
816		189	+	422	=	0
817		666	+	486	=	0
818		455	+	28	=	0
819		614	+	860	=	0
820		253	+	777	=	0
821		348	+	503	=	0
822		861	+	431	=	0
823		82	+	455	=	0
824		197	+	106	=	0
825		752	+	821	=	0
826		296	+	281	=	0
827		21	+	455	=	0
828		947	+	124	=	0
829		318	+	135	=	0
830		376	+	774	=	0
831		859	+	998	=	0
832		74	+	253	=	0
833		922	+	635	=	0
834		643	+	888	=	0
835		153	+	232	=	0
836		747	+	680	=	0
837		926	+	678	=	0
838		450	+	801	=	0
839		961	+	199	=	0
840		855	+	363	=	0
841		716	+	573	=	0
842		561	+	245	=	0
843		473	+	274	=	0
844		550	+	353	=	0
845		181	+	287	=	0
846		699	+	110	=	0
847		643	+	465	=	0
848		172	+	529	=	0
849		981	+	112	=	0
850		476	+	381	=	0
851		247	+	890	=	0
852		671	+	805	=	0
853		372	+	32	=	0
854		989	+	320	=	0
855		165	+	431	=	0
856		658	+	293	=	0
857		206	+	578	=	0
858		948	+	206	=	0
859		171	+	166	=	0
860		396	+	697	=	0
861		20	+	694	=	0
862		529	+	788	=	0
863		109	+	984	=	0
864		969	+	978	=	0
865		617	+	15	=	0
866		626	+	684	=	0
867		168	+	906	=	0
868		928	+	97	=	0
869		118	+	390	=	0
870		199	+	785	=	0
871		486	+	199	=	0
872		420	+	710	=	0
873		271	+	813	=	0
874		415	+	85	=	0
875		318	+	580	=	0
876		331	+	267	=	0
877		387	+	444	=	0
878		186	+	507	=	0
879		360	+	827	=	0
880		74	+	431	=	0
881		152	+	271	=	0
882		268	+	693	=	0
883		885	+	337	=	0
884		311	+	604	=	0
885		677	+	406	=	0
886		768	+	22	=	0
887		413	+	0	=	0
888		542	+	537	=	0
889		38	+	388	=	0
890		355	+	289	=	0
891		647	+	181	=	0
892		93	+	584	=	0
893		987	+	761	=	0
894		493	+	217	=	0
895		501	+	482	=	0
896		447	+	665	=	0
897		753	+	104	=	0
898		84	+	95	=	0
899		525	+	221	=	0
900		964	+	781	=	0
901		872	+	106	=	0
902		656	+	343	=	0
903		593	+	80	=	0
904		80	+	868	=	0
905		411	+	713	=	0
906		968	+	251	=	0
907		216	+	79	=	0
908		768	+	40	=	0
909		531	+	933	=	0
910		779	+	663	=	0
911		259	+	653	=	0
912		936	+	95	=	0
913		365	+	874	=	0
914		720	+	835	=	0
915		680	+	976	=	0
916		455	+	725	=	0
917		71	+	808	=	0
918		559	+	156	=	0
919		602	+	832	=	0
920		905	+	440	=	0
921		375	+	562	=	0
922		885	+	962	=	0
923		80	+	836	=	0
924		797	+	202	=	0
925		508	+	80	=	0
926		340	+	76	=	0
927		58	+	493	=	0
928		740	+	546	=	0
929		474	+	773	=	0
930		97	+	880	=	0
931		335	+	72	=	0
932		400	+	707	=	0
933		955	+	666	=	0
934		141	+	588	=	0
935		481	+	168	=	0
936		315	+	396	=	0
937		225	+	9	=	0
938		12	+	136	=	0
939		455	+	762	=	0
940		43	+	742	=	0
941		21	+	922	=	0
942		512	+	248	=	0
943		18	+	368	=	0
944		717	+	714	=	0
945		650	+	290	=	0
946		335	+	759	=	0
947		169	+	895	=	0
948		303	+	640	=	0
949		979	+	199	=	0
950		105	+	791	=	0
951		661	+	681	=	0
952		652	+	753	=	0
953		33	+	29	=	0
954		987	+	42	=	0
955		253	+	83	=	0
956		420	+	814	=	0
957		718	+	244	=	0
958		63	+	229	=	0
959		652	+	864	=	0
960		769	+	470	=	0
961		5	+	47	=	0
962		594	+	487	=	0
963		326	+	276	=	0
964		323	+	540	=	0
965		679	+	990	=	0
966		588	+	710	=	0
967		271	+	945	=	0
968		221	+	470	=	0
969		183	+	589	=	0
970		955	+	978	=	0
971		779	+	6	=	0
972		262	+	135	=	0
973		487	+	196	=	0
974		33	+	88	=	0
975		935	+	779	=	0
976		993	+	790	=	0
977		962	+	965	=	0
978		1	+	105	=	0
979		807	+	567	=	0
980		669	+	134	=	0
981		671	+	457	=	0
982		998	+	545	=	0
983		597	+	218	=	0
984		838	+	844	=	0
985		372	+	563	=	0
986		28	+	264	=	0
987		801	+	723	=	0
988		490	+	604	=	0
989		601	+	227	=	0
990		197	+	692	=	0
991		771	+	363	=	0
992		301	+	363	=	0
993		721	+	565	=	0
994		421	+	445	=	0
995		610	+	495	=	0
996		741	+	22	=	0
997		812	+	151	=	0
998		15	+	55	=	0
999		393	+	738	=	0
1000		279	+	882	=	0
1001		608	+	654	=	0
1002		822	+	707	=	0
1003		245	+	338	=	0
1004		144	+	290	=	0
1005		339	+	154	=	0
1006		604	+	623	=	0
1007		225	+	78	=	0
1008		724	+	981	=	0
1009		330	+	733	=	0
1010		223	+	594	=	0
1011		130	+	846	=	0
1012		987	+	445	=	0
1013		805	+	616	=	0
1014		750	+	489	=	0
1015		338	+	963	=	0
1016		135	+	697	=	0
1017		209	+	630	=	0
1018		224	+	908	=	0
1019		737	+	474	=	0
1020		920	+	372	=	0
1021		293	+	855	=	0
1022		734	+	561	=	0
1023		56	+	606	=	0
1024		184	+	75	=	0
1025		382	+	119	=	0
1026		741	+	432	=	0
1027		684	+	779	=	0
1028		279	+	283	=	0
1029		667	+	836	=	0
1030		125	+	118	=	0
1031		737	+	28	=	0
1032		119	+	577	=	0
1033		737	+	91	=	0
1034		556	+	795	=	0
1035		60	+	901	=	0
1036		793	+	432	=	0
1037		136	+	580	=	0
1038		875	+	907	=	0
1039		184	+	74	=	0
1040		719	+	790	=	0
1041		476	+	41	=	0
1042		351	+	329	=	0
1043		290	+	974	=	0
1044		72	+	591	=	0
1045		189	+	787	=	0
1046		490	+	239	=	0
1047		893	+	53	=	0
1048		63	+	681	=	0
1049		903	+	5	=	0
1050		176	+	479	=	0
1051		695	+	139	=	0
1052		468	+	998	=	0
1053		83	+	639	=	0
1054		515	+	621	=	0
1055		993	+	826	=	0
1056		722	+	838	=	0
1057		828	+	581	=	0
1058		399	+	978	=	0
1059		891	+	23	=	0
1060		943	+	834	=	0
1061		243	+	349	=	0
1062		702	+	707	=	0
1063		502	+	141	=	0
1064		687	+	346	=	0
1065		891	+	637	=	0
1066		413	+	400	=	0
1067		816	+	690	=	0
1068		162	+	935	=	0
1069		126	+	410	=	0
1070		877	+	382	=	0
1071		260	+	189	=	0
1072		705	+	874	=	0
1073		663	+	722	=	0
1074		195	+	566	=	0
1075		360	+	38	=	0
1076		588	+	811	=	0
1077		245	+	467	=	0
1078		425	+	867	=	0
1079		189	+	542	=	0
1080		63	+	547	=	0
1081		502	+	617	=	0
1082		99	+	23	=	0
1083		226	+	203	=	0
1084		48	+	51	=	0
1085		570	+	636	=	0
1086		458	+	967	=	0
1087		456	+	405	=	0
1088		531	+	962	=	0
1089		819	+	975	=	0
1090		556	+	531	=	0
1091		495	+	44	=	0
1092		591	+	803	=	0
1093		388	+	915	=	0
1094		450	+	319	=	0
1095		272	+	791	=	0
1096		383	+	133	=	0
1097		775	+	642	=	0
1098		569	+	300	=	0
1099		954	+	78	=	0
1100		585	+	257	=	0
1101		333	+	893	=	0
1102		490	+	103	=	0
1103		750	+	233	=	0
1104		722	+	271	=	0
1105		611	+	990	=	0
1106		338	+	641	=	0
1107		258	+	47	=	0
1108		352	+	658	=	0
1109		479	+	302	=	0
1110		683	+	990	=	0
1111		2	+	568	=	0
1112		422	+	895	=	0
1113		135	+	8	=	0
1114		361	+	742	=	0
1115		194	+	699	=	0
1116		188	+	178	=	0
1117		42	+	357	=	0
1118		941	+	847	=	0
1119		469	+	345	=	0
1120		380	+	913	=	0
1121		964	+	710	=	0
1122		61	+	385	=	0
1123		73	+	504	=	0
1124		462	+	703	=	0
1125		102	+	69	=	0
1126		154	+	529	=	0
1127		552	+	74	=	0
1128		149	+	730	=	0
1129		244	+	844	=	0
1130		49	+	118	=	0
1131		65	+	363	=	0
1132		552	+	773	=	0
1133		470	+	731	=	0
1134		747	+	511	=	0
1135		869	+	398	=	0
1136		498	+	103	=	0
1137		352	+	679	=	0
1138		53	+	43	=	0
1139		522	+	88	=	0
1140		563	+	834	=	0
1141		850	+	22	=	0
1142		240	+	911	=	0
1143		492	+	651	=	0
1144		580	+	477	=	0
1145		616	+	876	=	0
1146		178	+	220	=	0
1147		615	+	348	=	0
1148		798	+	179	=	0
1149		635	+	857	=	0
1150		883	+	662	=	0
1151		902	+	262	=	0
